taxon	min	max
Technomyrmex_caritatis	13.82	20.44
Technomyrmex_deletus	5.333	11.608
Technomyrmex_hispaniolae	13.82	20.44
Technomyrmex_septentrionalis	11.608	15.97
Usomyrma_mirabilis	33.9	38
Yantaromyrmex_constrictus	33.9	38
Yantaromyrmex_geinitzi	28.4	33.9
Yantaromyrmex_intermedius	33.9	38
Yantaromyrmex_mayrianum	33.9	38
Zherichinius_horribilis	41.3	47.8
Zherichinius_rapax	41.3	47.8
Acanthostichus_hispaniolicus	13.82	20.44
Cylindromyrmex_antillanus	13.82	20.44
Cylindromyrmex_electrinus	13.82	20.44
Cylindromyrmex_inopinatus	13.82	20.44
Dorylinae	1.8	4.9
Lioponera	28.4	33.9
Neivamyrmex	15.97	23.03
Neivamyrmex_ectopus	13.82	20.44
Procerapachys_annosus	33.9	38
Procerapachys_favosus	33.9	38
Procerapachys_sulcatus	33.9	38
Canapone_dentata	70.6	83.5
Ectatomma_gracile	5.333	11.608
Gnamptogenys_brunoi	13.82	20.44
Gnamptogenys_casca	13.82	20.44
Gnamptogenys_europaea	33.9	38
Gnamptogenys_levinates	13.82	20.44
Gnamptogenys_pristina	13.82	20.44
Gnamptogenys_rohdendorfi	33.9	38
Pseudectatomma_eocenica	40.4	48.6
Pseudectatomma_striatula	40.4	48.6
Rhytidoponera_gibsoni	20.44	23.03
Rhytidoponera_kirghizorum	5.333	15.97
Rhytidoponera_waipiata	20.44	23.03
Titanomyrma_gigantea	40.4	48.6
Titanomyrma_lubei	48.6	55.8
Titanomyrma_simillima	40.4	48.6
Acropyga	13.82	20.44
Acropyga_glaesaria	13.82	20.44
Camponotini	2.588	3.6
Camponotites	11.608	15.97
Camponotites_kraussei	47.8	56
Camponotites_macropterus	11.608	15.97
Camponotites_silvestris	2.588	3.6
Camponotites_steinbachi	2.588	3.6
Camponotites_xiejiaheensis	11.608	15.97
Camponotus	15.97	20.43
Camponotus_ambon	11.608	15.97
Camponotus_ampullosus	11.608	15.97
Camponotus_cockerelli	33.9	38
Camponotus_compactus	28.4	33.9
Camponotus_crozei	5.333	8.7
Camponotus_curviansatus	11.608	15.97
Camponotus_festinatus	15.97	20.43
Camponotus_festinus	11.608	15.97
Camponotus_fuscipennis	33.9	37.2
Camponotus_gracilis	11.608	15.97
Camponotus_heracleus	11.608	12.7
Camponotus_herculeanus	1.806	2.588
Camponotus_induratus	11.608	12.7
Camponotus_lignitus	11.608	12.7
Camponotus_longiventris	23.03	28.1
Camponotus_longus	11.608	15.97
Camponotus_luteus	11.608	15.97
Camponotus_mengei	28.4	33.9
Camponotus_microcephalus	33.9	37.2
Camponotus_microthoracus	11.608	15.97
Camponotus_mitis	11.608	15.97
Camponotus_novotnyi	28.1	33.9
Camponotus_obesus	7.246	11.62
Camponotus_oeningensis	11.608	12.7
Camponotus_palaeopterus	11.608	15.97
Camponotus_penninervis	23.03	28.1
Camponotus_petrifactus	33.9	37.2
Camponotus_pictus	11.608	15.97
Camponotus_pinguiculus	11.608	12.7
Camponotus_plenus	11.608	15.97
Camponotus_shanwangensis	11.608	15.97
Camponotus_theobaldi	23.03	28.1
Camponotus_tokunagai	48.6	55.8
Camponotus_ullrichi	5.333	7.246
Camponotus_vehemens	28.4	33.9
Camponotus_vetus	46.2	50.3
Cataglyphoides_constrictus	33.9	38
Cataglyphoides_intermedius	33.9	38
Chimaeromyrma_brachycephala	41.3	47.8
Conoformica_bitterfeldiana	33.9	38
Curtipalpulus_eocenicus	48.6	55.8
Drymomyrmex_claripennis	33.9	38
Drymomyrmex_fuscipennis	28.4	33.9
Eoleptocerites_chinensis	48.6	55.8
Eoleptocerites_fushunensis	48.6	55.8
Eurytarsites_fushunensis	48.6	55.8
Formica	33.9	37.2
Formica_alsatica	28.4	33.9
Formica_annosa	41.3	47.8
Formica_arcana	23.03	33.9
Formica_auxillacensis	5.333	7.246
Formica_bauckhorni	23.03	28.4
Formica_biamoensis	33.9	38
Formica_buphthalma	15.97	16.9
Formica_cantalica	7.246	11.62
Formica_ceps	11.608	15.97
Formica_cockerelli	33.9	37.2
Formica_demersa	11.608	12.7
Formica_eoptera	33.9	37.2
Formica_flavifemoralis	11.608	15.97
Formica_flori	28.4	33.9
Formica_gibbosa	33.9	38
Formica_globiventris	11.608	12.7
Formica_grandis	33.9	37.2
Formica_gravida	11.608	12.7
Formica_gustawi	33.9	38
Formica_heteroptera	41.3	47.8
Formica_horrida	33.9	38
Formica_immersa	11.608	12.7
Formica_kutscheri	33.9	38
Formica_latinodosa	23.03	28.1
Formica_lavateri	11.608	12.7
Formica_linquensis	11.608	15.97
Formica_longicollis	11.608	12.7
Formica_lucida	33.9	38
Formica_luteola	33.9	38
Formica_macrocephala	11.608	12.7
Formica_macrognatha	33.9	38
Formica_macrophthalma	11.608	12.7
Formica_maculipennis	5.333	7.246
Formica_martynovi	11.608	12.7
Formica_neorufibarbis	0.0117	0.126
Formica_nigra	33.9	38
Formica_obscura	11.608	12.7
Formica_orbata	11.608	12.7
Formica_ovala	11.608	15.97
Formica_palaeopolonica	33.9	38
Formica_paleosibirica	33.9	38
Formica_parexsecta	11.608	12.7
Formica_parvula	33.9	38
Formica_phaethusa	33.9	38
Formica_pitoni	2.588	3.6
Formica_primitiva	11.608	12.7
Formica_primordialis	11.608	12.7
Formica_procera	11.608	12.7
Formica_pulchella	11.608	12.7
Formica_quadrata	33.9	38
Formica_radchenkoi	33.9	38
Formica_robusta	33.9	37.2
Formica_sepulta	28.4	33.9
Formica_serresi	23.03	28.1
Formica_seuberti	11.608	12.7
Formica_strangulata	33.9	38
Formica_surinamensis	33.9	38
Formica_trigona	33.9	38
Formica_tripartita	28.4	33.9
Formica_ungeri	11.608	12.7
Formica_zherikhini	33.9	38
Formicinae	46.2	50.3
Fushuniformica_spinata	48.6	55.8
Gesomyrmex_bremii	11.608	12.7
Gesomyrmex_breviceps	40.4	48.6
Gesomyrmex_curiosus	40.4	48.6
Gesomyrmex_flavescens	40.4	48.6
Gesomyrmex_germanicus	40.4	48.6
Gesomyrmex_hoernesi	33.9	38
Gesomyrmex_incertus	33.9	38
Gesomyrmex_macrops	33.9	38
Gesomyrmex_magnus	33.9	38
Gesomyrmex_pulcher	40.4	48.6
Glaphyromyrmex_oligocenicus	28.4	33.9
Heeridris_croaticus	11.608	12.7
Huaxiaformica_mallepetiolata	48.6	55.8
Imhoffia_nigra	11.608	12.7
Imhoffia_pallida	11.608	12.7
Kyromyrma_neffi	89.8	93.9
Lasius	20.44	23.03
Lasius_anthracinus	11.608	12.7
Lasius_chambonensis	2.588	3.6
Lasius_crispus	7.246	11.62
Lasius_epicentrus	23.03	28.1
Lasius_globularis	23.03	28.1
Lasius_glom	41.3	47.8
Lasius_inflatus	11.608	15.97
Lasius_longaevus	11.608	12.7
Lasius_longipennis	11.608	12.7
Lasius_mordicus	11.608	15.97
Lasius_nemorivagus	33.9	38
Lasius_oblongus	5.333	11.608
Lasius_occultatus	12.7	13.65
Lasius_ophthalmicus	11.608	12.7
Lasius_peritulus	33.9	37.2
Lasius_pumilus	33.9	38
Lasius_punctulatus	33.9	38
Lasius_schiefferdeckeri	33.9	38
Lasius_tertiarius	11.608	12.7
Lasius_truncatus	11.608	15.97
Lasius_validus	11.608	15.97
Lasius_vetulus	11.608	15.97
Leptogasteritus_capricornutes	48.6	55.8
Leucotaphus_donisthorpei	33.9	38
Leucotaphus_gurnetensis	33.9	38
Liaoformica_longipetiolata	48.6	55.8
Longiformica_dongzhouheensis	48.6	55.8
Magnogasterites_curticornutus	48.6	55.8
Myrmecorhynchus_novaeseelandiae	20.44	23.03
Nylanderia_pygmaea	33.9	38
Nylanderia_vetula	13.82	20.44
Oecophylla_atavina	33.9	38
Oecophylla_bartoniana	41.3	47.8
Oecophylla_brischkei	33.9	38
Oecophylla_crassinoda	33.9	38
Oecophylla_eckfeldiana	40.4	48.6
Oecophylla_grandimandibula	5.333	8.7
Oecophylla_leakeyi	15.97	20.44
Oecophylla_longiceps	40.4	48.6
Oecophylla_megarche	33.9	38
Oecophylla_obesa	11.608	12.7
Oecophylla_praeclara	28.4	33.9
Oecophylla_sicula	5.333	11.608
Oecophylla_superba	28.4	33.9
Orbicapitia_reticulata	48.6	55.8
Ovalicapito_fushunensis	48.6	55.8
Ovaligastrula_xilutianensis	48.6	55.8
Plagiolepis_klinsmanni	33.9	38
Plagiolepis_kuenowi	33.9	38
Plagiolepis_labilis	5.333	11.608
Plagiolepis_minutissima	33.9	38
Plagiolepis_paradoxa	33.9	38
Plagiolepis_singularis	33.9	38
Plagiolepis_solitaria	33.9	38
Plagiolepis_wheeleri	33.9	38
Polyrhachis_annosus	5.333	7.246
Prenolepis_henschei	33.9	38
Prodimorphomyrmex_primigenius	33.9	38
Protoformica_proformicoides	33.9	38
Protomyrmica_atavia	33.9	38
Protrechina_carpenteri	38	41.3
Pseudocamponotus_elkoanus	28.4	37.2
Pseudolasius_boreus	33.9	38
Sicilomyrmex_corniger	5.333	11.608
Sinoformica_longicapitata	48.6	55.8
Sinotenuicapito_badis	48.6	55.8
Wilsonia_liaoningensis	48.6	55.8
Wilsonia_megagastrosa	48.6	55.8
Zatania_electra	13.82	20.44
Formicium_brodiei	33.9	38
